canonical_id,column_excel,sheet,study,granularity,db_target,in_ecmo,in_acc,overlap_ecmo_acc,occurrence_count,all_db_targets,patient_scenarios,unified_collection
unique.VERIFICATO,VERIFICATO,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → VERIFICATO,True,False,False,1,ECMO → ANAGRAFICA → VERIFICATO,Vedi foglio,PER STUDIO/FOGLIO
patient.sdo,SDO,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → SDO,True,True,True,30,ACC → 6 - 12H → SDO || ACC → Ammissione → SDO || ACC → Anagrafica → SDO || ACC → Anamnesi → SDO || ACC → DAY 1 → SDO || ACC → DAY 2 → SDO || ACC → DAY 3 → SDO || ACC → Outcome → SDO || ACC → PS → SDO || ACC → Pre-H → SDO || ECMO → 24HRS ECLS ASSESSMENT → SDO || ECMO → ANAGRAFICA → SDO || ECMO → CANNULA → SDO || ECMO → CARDIAC SURGERY PROCEDURES → SDO || ECMO → CARDIAC → SDO || ECMO → CATH DURING ECMO → SDO || ECMO → COMPLICANZE → SDO || ECMO → DIAGNOSI → SDO || ECMO → ECLS CARE → SDO || ECMO → ECPR 24HRS → SDO || ECMO → ECPR ACC → SDO || ECMO → ECPR INCANULAMENTO → SDO || ECMO → ECPR_ANAMNESI → SDO || ECMO → EQUIPMENT → SDO || ECMO → INFEZIONI → SDO || ECMO → OUTCOME → SDO || ECMO → PRE-ECLS ASSESSMENT → SDO || ECMO → PRE-ECLS SUPPORT → SDO || ECMO → PROCEDURES → SDO || ECMO → RUN → SDO,Tutti: solo ACC | solo ECMO | entrambi,UNIFICARE (1 inserimento)
patient.cognome,COGNOME,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → COGNOME,True,True,True,30,ACC → 6 - 12H → COGNOME || ACC → Ammissione → COGNOME || ACC → Anagrafica → COGNOME || ACC → Anamnesi → COGNOME || ACC → DAY 1 → COGNOME || ACC → DAY 2 → COGNOME || ACC → DAY 3 → COGNOME || ACC → Outcome → COGNOME || ACC → PS → COGNOME || ACC → Pre-H → COGNOME || ECMO → 24HRS ECLS ASSESSMENT → COGNOME || ECMO → ANAGRAFICA → COGNOME || ECMO → CANNULA → COGNOME || ECMO → CARDIAC SURGERY PROCEDURES → COGNOME || ECMO → CARDIAC → COGNOME || ECMO → CATH DURING ECMO → COGNOME || ECMO → COMPLICANZE → COGNOME || ECMO → DIAGNOSI → COGNOME || ECMO → ECLS CARE → COGNOME || ECMO → ECPR 24HRS → COGNOME || ECMO → ECPR ACC → COGNOME || ECMO → ECPR INCANULAMENTO → COGNOME || ECMO → ECPR_ANAMNESI → COGNOME || ECMO → EQUIPMENT → COGNOME || ECMO → INFEZIONI → COGNOME || ECMO → OUTCOME → COGNOME || ECMO → PRE-ECLS ASSESSMENT → COGNOME || ECMO → PRE-ECLS SUPPORT → COGNOME || ECMO → PROCEDURES → COGNOME || ECMO → RUN → COGNOME,Tutti: solo ACC | solo ECMO | entrambi,UNIFICARE (1 inserimento)
patient.nome,NOME,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → NOME,True,True,True,30,ACC → 6 - 12H → NOME || ACC → Ammissione → NOME || ACC → Anagrafica → NOME || ACC → Anamnesi → NOME || ACC → DAY 1 → NOME || ACC → DAY 2 → NOME || ACC → DAY 3 → NOME || ACC → Outcome → NOME || ACC → PS → NOME || ACC → Pre-H → NOME || ECMO → 24HRS ECLS ASSESSMENT → NOME || ECMO → ANAGRAFICA → NOME || ECMO → CANNULA → NOME || ECMO → CARDIAC SURGERY PROCEDURES → NOME || ECMO → CARDIAC → NOME || ECMO → CATH DURING ECMO → NOME || ECMO → COMPLICANZE → NOME || ECMO → DIAGNOSI → NOME || ECMO → ECLS CARE → NOME || ECMO → ECPR 24HRS → NOME || ECMO → ECPR ACC → NOME || ECMO → ECPR INCANULAMENTO → NOME || ECMO → ECPR_ANAMNESI → NOME || ECMO → EQUIPMENT → NOME || ECMO → INFEZIONI → NOME || ECMO → OUTCOME → NOME || ECMO → PRE-ECLS ASSESSMENT → NOME || ECMO → PRE-ECLS SUPPORT → NOME || ECMO → PROCEDURES → NOME || ECMO → RUN → NOME,Tutti: solo ACC | solo ECMO | entrambi,UNIFICARE (1 inserimento)
ecmo.lens_id,ECMO LENS,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → ECMO LENS,True,False,False,20,ECMO → 24HRS ECLS ASSESSMENT → ECMO LENS || ECMO → ANAGRAFICA → ECMO LENS || ECMO → CANNULA → ECMO LENS || ECMO → CARDIAC SURGERY PROCEDURES → ECMO LENS || ECMO → CARDIAC → ECMO LENS || ECMO → CATH DURING ECMO → ECMO LENS || ECMO → COMPLICANZE → ECMO LENS || ECMO → DIAGNOSI → ECMO LENS || ECMO → ECLS CARE → ECMO LENS || ECMO → ECPR 24HRS → ECMO LENS || ECMO → ECPR ACC → ECMO LENS || ECMO → ECPR INCANULAMENTO → ECMO LENS || ECMO → ECPR_ANAMNESI → ECMO LENS || ECMO → EQUIPMENT → ECMO LENS || ECMO → INFEZIONI → ECMO LENS || ECMO → OUTCOME → ECMO LENS || ECMO → PRE-ECLS ASSESSMENT → ECMO LENS || ECMO → PRE-ECLS SUPPORT → ECMO LENS || ECMO → PROCEDURES → ECMO LENS || ECMO → RUN → ECMO LENS,Vedi foglio,PER STUDIO/FOGLIO
ecmo.elso_id,NUMERO ELSO,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → NUMERO ELSO,True,False,False,20,ECMO → 24HRS ECLS ASSESSMENT → ELSO || ECMO → ANAGRAFICA → NUMERO ELSO || ECMO → CANNULA → ELSO || ECMO → CARDIAC SURGERY PROCEDURES → ELSO || ECMO → CARDIAC → ELSO || ECMO → CATH DURING ECMO → ELSO || ECMO → COMPLICANZE → ELSO || ECMO → DIAGNOSI → ELSO || ECMO → ECLS CARE → ELSO || ECMO → ECPR 24HRS → ELSO || ECMO → ECPR ACC → ELSO || ECMO → ECPR INCANULAMENTO → ELSO || ECMO → ECPR_ANAMNESI → ELSO || ECMO → EQUIPMENT → ELSO || ECMO → INFEZIONI → ELSO || ECMO → OUTCOME → ELSO || ECMO → PRE-ECLS ASSESSMENT → ELSO || ECMO → PRE-ECLS SUPPORT → ELSO || ECMO → PROCEDURES → ELSO || ECMO → RUN → ELSO,Vedi foglio,PER STUDIO/FOGLIO
study.year,ANNO,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → ANNO,True,True,True,21,ACC → Anagrafica → ANNO || ECMO → 24HRS ECLS ASSESSMENT → ANNO || ECMO → ANAGRAFICA → ANNO || ECMO → CANNULA → ANNO || ECMO → CARDIAC SURGERY PROCEDURES → ANNO || ECMO → CARDIAC → ANNO || ECMO → CATH DURING ECMO → ANNO || ECMO → COMPLICANZE → ANNO || ECMO → DIAGNOSI → ANNO || ECMO → ECLS CARE → ANNO || ECMO → ECPR 24HRS → ANNO || ECMO → ECPR ACC → ANNO || ECMO → ECPR INCANULAMENTO → ANNO || ECMO → ECPR_ANAMNESI → ANNO || ECMO → EQUIPMENT → ANNO || ECMO → INFEZIONI → ANNO || ECMO → OUTCOME → ANNO || ECMO → PRE-ECLS ASSESSMENT → ANNO || ECMO → PRE-ECLS SUPPORT → ANNO || ECMO → PROCEDURES → ANNO || ECMO → RUN → ANNO,Vedi foglio,UNIFICARE (1 inserimento)
patient.dn,DN,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → DN,True,True,True,3,ACC → Anagrafica → DN || ACC → Outcome → DN || ECMO → ANAGRAFICA → DN,Tutti: solo ACC | solo ECMO | entrambi,UNIFICARE (1 inserimento)
patient.sex,SEX,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → SEX,True,True,True,2,ACC → Anagrafica → GENDER || ECMO → ANAGRAFICA → SEX,Tutti: solo ACC | solo ECMO | entrambi,UNIFICARE (1 inserimento)
unique.DIAGNOSI,DIAGNOSI,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → DIAGNOSI,True,False,False,2,ECMO → ANAGRAFICA → DIAGNOSI || ECMO → TENDINE SLIM → Diagnosi,Vedi foglio,PER STUDIO/FOGLIO
